Date,OPEN,VOLUME,TodaysOpenGreaterThanNextWeekAverage(Classifier),AverageChangeLast-5,AverageChangeLast-10,AverageChangeLast-30
1/5/2017,90.19,14440060.00,0.00,-0.34,-0.04,2.66
1/4/2017,91.12,9432400.00,0.00,-0.32,-0.85,3.73
1/3/2017,90.94,10360622.00,0.00,-0.42,-0.97,2.32
12/30/2016,90.03,9117280.00,0.00,0.58,0.52,1.87
12/29/2016,90.10,6684661.00,0.00,-0.10,-1.62,2.72
12/28/2016,90.68,6745940.00,0.00,0.10,-1.02,3.02
12/27/2016,90.83,4960456.00,0.00,-0.84,0.75,1.62
12/23/2016,90.89,4266381.00,0.00,-0.88,2.08,2.12
12/22/2016,90.02,8003106.00,1.00,0.54,2.42,3.83
12/21/2016,90.68,7307997.00,0.00,-1.56,2.62,2.98
12/20/2016,90.51,7221041.00,1.00,-0.76,2.69,3.05
12/19/2016,91.38,9674313.00,0.00,1.10,2.27,3.69
12/16/2016,91.52,20291295.00,0.00,2.17,2.06,3.38
12/15/2016,90.10,11155111.00,1.00,2.24,0.90,3.52
12/14/2016,92.26,16323105.00,0.00,2.16,0.96,3.09
12/13/2016,91.89,18829345.00,0.00,1.52,2.47,2.40
12/12/2016,90.14,15542076.00,1.00,0.70,0.49,0.79
12/9/2016,88.64,8021683.00,1.00,0.50,0.54,-1.28
12/8/2016,88.05,9030099.00,1.00,-0.50,0.57,-0.29
12/7/2016,87.63,11182628.00,1.00,-0.28,0.28,-0.75
12/6/2016,87.27,11293620.00,1.00,1.57,0.42,-0.85
12/5/2016,87.39,11741074.00,1.00,-0.16,1.43,-0.56
12/2/2016,87.19,9704406.00,1.00,0.10,0.02,-0.92
12/1/2016,87.98,13003750.00,0.00,0.20,-0.43,-1.32
11/30/2016,87.60,22692459.00,1.00,-0.07,0.50,-1.32
11/29/2016,85.42,9181089.00,1.00,0.30,0.90,-0.61
11/28/2016,86.95,7449634.00,1.00,1.29,-0.41,-1.32
11/25/2016,86.71,5043042.00,1.00,-0.32,0.21,-0.49
11/23/2016,86.54,6060731.00,1.00,-0.85,2.00,-1.36
