@relation 'testData (Autosaved)'

@attribute Date date "MM/dd/yyyy"
@attribute OPEN numeric
@attribute VOLUME numeric
@attribute AverageChangeLast-5 numeric
@attribute AverageChangeLast-10 numeric
@attribute AverageChangeLast-30 numeric
@attribute 'Crude Oil Imports(US)' numeric
@attribute DayToDay(Classifier) numeric

@data
6/24/2010,60.82,34188500,-0.046,0.701,-3.047167,12436,0
6/25/2010,60.15,118023500,-0.912,0.339,-3.4385,12095,0
6/28/2010,59.31,43013000,-3.032,-0.317,-3.2565,12095,0
6/29/2010,58,52525000,-2.994,-0.437,-2.6675,12095,0
6/30/2010,57.33,43944900,-2.504,-1.039,-3.176833,12095,0
7/1/2010,56.98,47746400,-2.42,-2.033,-1.7775,12095,0
7/2/2010,56.85,32767900,-2.442,-2.992,-0.982167,12440,0
7/6/2010,57.17,36912100,-2.108,-4.965,1.2025,12440,1
7/7/2010,57.37,41797200,-1,-4.562,-0.4915,12440,1
7/8/2010,59.13,40430300,-0.102,-3.493,1.199833,12440,1
7/9/2010,58.76,25976500,0.596,-2.832,0.079833,11627,0
7/12/2010,58.29,23515000,1.16,-2.291,-0.357833,11627,1
7/13/2010,59.6,30514200,1.314,-1.467,-1.151833,11627,1
7/14/2010,59.22,26061100,1.506,-0.062,-0.3565,11627,0
7/15/2010,59.36,24737300,-0.088,0.805,0.513833,11627,1
7/16/2010,58.84,35805700,0.374,1.375,-1.256167,12412,0
7/19/2010,58.33,20960000,0.68,1.64,-0.886167,12412,0
7/20/2010,57.68,23807300,-0.732,1.506,-0.162667,12412,1
7/21/2010,59.13,26859700,-0.446,1.455,0.185667,12412,1
7/22/2010,58.71,27051400,-0.804,-0.331,-1.876667,12412,1
7/23/2010,59.26,19281400,-0.262,0.096,-1.818333,13588,1
7/26/2010,59.7,20236500,0.6,0.66,-2.070667,13588,1
7/27/2010,60.62,22400800,1.642,-0.505,-2.499667,13588,1
7/28/2010,60.73,23511100,0.564,0.014,-2.348333,13588,1
7/29/2010,61.42,33763000,1.532,0.039,-2.481667,13588,0
7/30/2010,60.15,29354600,1.174,0.666,-3.004,12502,0
8/2/2010,60.64,28144000,0.726,1.348,-3.461333,12502,1
8/3/2010,61.98,31075800,0.116,2.349,-4.82,12502,1
8/4/2010,62.86,21033800,0.388,1.276,-3.863667,12502,1
8/5/2010,62.28,19985300,0.06,2.151,-2.417667,12502,0
8/6/2010,61.92,23097300,1.804,1.934,-1.474,12213,0
8/9/2010,62.56,14731300,1.772,1.719,-0.740667,12213,1
8/10/2010,61.85,23188500,0.534,1.005,0.211,12213,0
8/11/2010,60.55,24281300,-0.504,1.007,1.636333,12213,0
8/12/2010,59.7,16951300,-0.39,0.265,2.409667,12213,0
8/13/2010,59.96,14651300,-0.526,1.524,2.865,12473,1
8/16/2010,59.6,14301100,-1.578,1.057,3.105,12473,0
8/17/2010,60.49,20122200,-1.382,-0.489,2.895333,12473,1
8/18/2010,60.67,20071500,-0.304,-1.559,2.807333,12473,0
8/19/2010,59.93,21174500,0.498,-1.236,1.104667,12473,0
8/20/2010,59.02,21008800,0.05,-1.218,1.490667,12877,0
8/23/2010,58.97,21337700,0.206,-2.166,1.964333,12877,1
